P_NAME,HOST_NAME,DISCOVERY_METHOD,P_PERIOD,P_SEMI_MAJOR_AXIS,P_RADIUS,P_MASS,P_DENSITY,P_ECCENTRICITY,P_TEMP_EQUIL,P_INCLINATION,S_TEMPERATURE,S_RADIUS,S_MASS
Kepler-31 b,Kepler-31,Transit,20.86021267,,5.51,,,,,,6121,1.2,1.08
Kepler-31 b,Kepler-31,Transit,20.8613,0.16,5.5,,,,,,6340,1.22,1.21
Kepler-31 c,Kepler-31,Transit,42.63425379,,,,,,,,6011.2,1.3,1.11
Kepler-31 c,Kepler-31,Transit,42.63416177,0.253,4.99,,,0,615,89.38,6505,1.16,1.19
Kepler-31 c,Kepler-31,Transit,,,5.233,,,,,,6088,1.26,
Kepler-31 c,Kepler-31,Transit,42.63188,0.254,5.3,,,0,611,88.24,6514,1.15,1.21
Kepler-31 c,Kepler-31,Transit,42.63416177,0.253,4.99,,,0,615,89.38,6505,1.16,1.19
Kepler-31 c,Kepler-31,Transit,42.63427848,,,,,,,,6011.2,1.3,1.11
Kepler-31 c,Kepler-31,Transit,42.632,,4.71,29.5,,,,,,1.16,1.19
Kepler-31 c,Kepler-31,Transit,42.6318,0.26,5.3,1493.7,,,,,6340,1.22,1.21
Kepler-31 c,Kepler-31,Transit,42.63427848,0.2355,5.22,,,0,615,89.85,6035,1.26,0.96
Kepler-31 c,Kepler-31,Transit,42.63416177,0.253,4.99,,,0,615,89.38,6505,1.16,1.19
Kepler-31 c,Kepler-31,Transit,42.63416177,,5.06,,,,,,6121,1.2,1.08
Kepler-31 d,Kepler-31,Transit,87.6475334,0.409,4.06,,,0,484,89.38,6505,1.16,1.19
Kepler-31 d,Kepler-31,Transit,87.6451,0.4,3.9,2161.244,,,,,6340,1.22,1.21
Kepler-31 d,Kepler-31,Transit,87.6475334,,4.21,,,,,,6121,1.2,1.08
Kepler-31 d,Kepler-31,Transit,,,4.01,,,,,,6088,1.26,
Kepler-31 d,Kepler-31,Transit,87.6476068,,,,,,,,6011.2,1.3,1.11
Kepler-31 d,Kepler-31,Transit,87.64710222,,,,,,,,6011.2,1.3,1.11
Kepler-31 d,Kepler-31,Transit,87.648901,0.39,4.56,,,,,,6034,1.31,
Kepler-31 d,Kepler-31,Transit,87.6475334,0.409,4.06,,,0,484,89.38,6505,1.16,1.19
Kepler-31 d,Kepler-31,Transit,87.6472,0.411,4.2,,,0,480,88.81,6514,1.15,1.21
Kepler-31 d,Kepler-31,Transit,87.6476068,0.3807,4,,,0,484,89.89,6035,1.26,0.96
Kepler-31 d,Kepler-31,Transit,87.64763352,,,,,,,,6011.2,1.3,1.11
Kepler-31 d,Kepler-31,Transit,87.6475334,0.409,4.06,,,0,484,89.38,6505,1.16,1.19
Kepler-310 b,Kepler-310,Transit,13.93068791,,,,,,,,5490,0.84,0.96
Kepler-310 b,Kepler-310,Transit,13.93068791,0.1116,1.4,,,0,665,87.46,5497,0.84,0.95
Kepler-310 b,Kepler-310,Transit,13.93072278,0.1093,1.21,,,0,714,89.38,5795,0.85,0.89
Kepler-310 b,Kepler-310,Transit,13.93072278,0.1093,1.21,,,0,714,89.38,5795,0.85,0.89
Kepler-310 b,Kepler-310,Transit,13.93078,0.112,1.47,,,0,726,87.09,5818,0.9,0.97
Kepler-310 b,Kepler-310,Transit,13.930698,0.111,1.19,,,,,,5797,0.88,
Kepler-310 b,Kepler-310,Transit,13.93064656,,,,,,,,5490,0.84,0.96
Kepler-310 b,Kepler-310,Transit,,,1.417,,,,,,5451,0.85,
Kepler-310 b,Kepler-310,Transit,13.93072278,,1.25,,,,,,5551,0.88,0.91
Kepler-310 b,Kepler-310,Transit,13.93072278,0.1093,1.21,,,0,714,89.38,5795,0.85,0.89
Kepler-310 c,Kepler-310,Transit,56.475857,,,,,,,,5490,0.84,0.96
Kepler-310 c,Kepler-310,Transit,56.476167,0.2778,3.33,,,0,448,88.81,5795,0.85,0.89
Kepler-310 c,Kepler-310,Transit,56.4758069,,,,,,,,5490,0.84,0.96
Kepler-310 c,Kepler-310,Transit,,,3.258,,,,,,5451,0.85,
Kepler-310 c,Kepler-310,Transit,56.4758069,0.2838,3.22,,,0,417,88.81,5497,0.84,0.95
Kepler-310 c,Kepler-310,Transit,56.4744,0.285,3.3,,,0,455,88.81,5818,0.9,0.97
Kepler-310 c,Kepler-310,Transit,56.476167,,3.46,,,,,,5551,0.88,0.91
Kepler-310 c,Kepler-310,Transit,56.476167,0.2778,3.33,,,0,448,88.81,5795,0.85,0.89
Kepler-310 c,Kepler-310,Transit,56.47542,0.281,3.38,,,,,,5797,0.88,
Kepler-310 c,Kepler-310,Transit,56.47603581,,,,,,,,5490,0.84,0.96
Kepler-310 c,Kepler-310,Transit,56.476167,0.2778,3.33,,,0,448,88.81,5795,0.85,0.89
Kepler-310 d,Kepler-310,Transit,92.87532175,,,,,,,,5490,0.84,0.96
Kepler-310 d,Kepler-310,Transit,92.87512229,,,,,,,,5490,0.84,0.96
Kepler-310 d,Kepler-310,Transit,92.8747294,,,,,,,,5490,0.84,0.96
Kepler-310 d,Kepler-310,Transit,92.874,,2.1,7,3.3,,,,,,1
Kepler-310 d,Kepler-310,Transit,92.8750347,0.387,2.38,,,0,380,89.38,5795,0.85,0.89
Kepler-310 d,Kepler-310,Transit,92.876125,0.392,2.47,,,,,,5797,0.88,
Kepler-310 d,Kepler-310,Transit,92.8756,0.397,2.5,,,0,386,89.38,5818,0.9,0.97
Kepler-310 d,Kepler-310,Transit,,,2.678,,,,,,5451,0.85,
Kepler-310 d,Kepler-310,Transit,92.8750347,0.387,2.38,,,0,380,89.38,5795,0.85,0.89
Kepler-310 d,Kepler-310,Transit,92.8750347,0.387,2.38,,,0,380,89.38,5795,0.85,0.89
Kepler-310 d,Kepler-310,Transit,92.8750347,,2.5,,,,,,5551,0.88,0.91
Kepler-310 d,Kepler-310,Transit,92.8747294,0.3953,2.64,,,0,353,88.82,5497,0.84,0.95
Kepler-311 b,Kepler-311,Transit,9.17613539,0.085,1.57,,,0,928,89.95,5897,1.08,0.97
Kepler-311 b,Kepler-311,Transit,9.176092,0.087,1.7,,,,,,5905,1.19,
Kepler-311 b,Kepler-311,Transit,9.17613539,,1.6,,,,,,6009,1.13,1.08
Kepler-311 b,Kepler-311,Transit,,,1.659,,,,,,5897,1.16,
Kepler-311 b,Kepler-311,Transit,9.17613239,,,,,,,,5841.2,1.22,1.05
Kepler-311 b,Kepler-311,Transit,9.17608,0.089,1.85,,,0,985,84.22,6285,1.12,1.12
Kepler-311 b,Kepler-311,Transit,9.17613539,0.085,1.57,,,0,928,89.95,5897,1.08,0.97
Kepler-311 b,Kepler-311,Transit,9.1761224,,,,,,,,5841.2,1.22,1.05
Kepler-311 b,Kepler-311,Transit,9.17613539,0.085,1.57,,,0,928,89.95,5897,1.08,0.97
Kepler-311 b,Kepler-311,Transit,9.17617167,0.085,1.66,,,0,960,89.63,5903,1.16,0.97
Kepler-311 b,Kepler-311,Transit,9.17617167,,,,,,,,5841.2,1.22,1.05
Kepler-311 c,Kepler-311,Transit,19.74070039,,,,,,,,5841.2,1.22,1.05
Kepler-311 c,Kepler-311,Transit,19.73845351,,,,,,,,5841.2,1.22,1.05
Kepler-311 c,Kepler-311,Transit,19.7383913,0.1416,1.46,,,0,719,88.24,5897,1.08,0.97
Kepler-311 c,Kepler-311,Transit,19.7383913,,1.48,,,,,,6009,1.13,1.08
Kepler-311 c,Kepler-311,Transit,19.738286,0.145,1.43,,,,,,5905,1.19,
Kepler-311 c,Kepler-311,Transit,19.7383992,,,,,,,,5841.2,1.22,1.05
Kepler-311 c,Kepler-311,Transit,19.7383913,0.1416,1.46,,,0,719,88.24,5897,1.08,0.97
Kepler-311 c,Kepler-311,Transit,19.73805,0.148,1.61,,,0,764,86.52,6285,1.12,1.12
Kepler-311 c,Kepler-311,Transit,19.7383992,0.1417,1.61,,,0,744,88.06,5903,1.16,0.97
Kepler-311 c,Kepler-311,Transit,,,1.616,,,,,,5897,1.16,
Kepler-311 c,Kepler-311,Transit,19.7383913,0.1416,1.46,,,0,719,88.24,5897,1.08,0.97
Kepler-311 d,Kepler-311,Transit,232.040326,,,,,,,,5841.2,1.22,1.05
Kepler-311 d,Kepler-311,Transit,232.0469971,,2.073,,,,,,5903,1.16,0.97
Kepler-311 d,Kepler-311,Transit,232.040326,0.7326,2.05,,,0,327,89.7,5903,1.16,0.97
Kepler-311 d,Kepler-311,Transit,232.058029,0.7319,2.01,,,0,316,89.95,5897,1.08,0.97
Kepler-311 d,Kepler-311,Transit,232.058029,0.7319,2.01,,,0,316,89.95,5897,1.08,0.97
Kepler-312 b,Kepler-312,Transit,1.772419,0.031,1.29,,,,,,6115,1.47,
Kepler-312 b,Kepler-312,Transit,1.77244975,0.0305,0.98,,,0,1641,89.38,6173,1.11,1.2
Kepler-312 b,Kepler-312,Transit,,,1.513,,,,,,6224,1.7,
Kepler-312 b,Kepler-312,Transit,1.77244975,0.0305,0.98,,,0,1641,89.38,6173,1.11,1.2
Kepler-312 b,Kepler-312,Transit,1.77245107,,,,,,,,6158.44,1.75,1.17
Kepler-312 b,Kepler-312,Transit,1.77245107,0.0307,1.02,,,0,1685,89.94,6243,1.15,1.23
Kepler-312 b,Kepler-312,Transit,1.77241008,,,,,,,,6158.44,1.75,1.17
Kepler-312 b,Kepler-312,Transit,1.77244975,0.0305,0.98,,,0,1641,89.38,6173,1.11,1.2
Kepler-312 b,Kepler-312,Transit,1.77244975,,1.04,,,,,,6223,1.19,1.2
Kepler-312 c,Kepler-312,Transit,19.74736302,,,,,,,,6158.44,1.75,1.17
Kepler-312 c,Kepler-312,Transit,19.74735262,,,,,,,,6158.44,1.75,1.17
Kepler-312 c,Kepler-312,Transit,19.74732846,,2.6,,,,,,6223,1.19,1.2
Kepler-312 c,Kepler-312,Transit,19.74732846,0.1521,2.43,,,0,735,89.95,6173,1.11,1.2
Kepler-312 c,Kepler-312,Transit,19.747412,0.153,3.15,,,,,,6115,1.47,
Kepler-312 c,Kepler-312,Transit,19.74733983,0.1531,2.62,,,0,754,89.06,6243,1.15,1.23
Kepler-312 c,Kepler-312,Transit,19.74732846,0.1521,2.43,,,0,735,89.95,6173,1.11,1.2
Kepler-312 c,Kepler-312,Transit,19.74733983,,,,,,,,6158.44,1.75,1.17
Kepler-312 c,Kepler-312,Transit,,,3.878,,,,,,6224,1.7,
Kepler-312 c,Kepler-312,Transit,19.747469,0.153,2.85,,,0,763,88.24,6197,1.19,1.23
Kepler-312 c,Kepler-312,Transit,19.74732846,0.1521,2.43,,,0,735,89.95,6173,1.11,1.2
Kepler-313 b,Kepler-313,Transit,14.970418,0.125,2.53,,,,,,5727,1.54,
Kepler-313 b,Kepler-313,Transit,14.97039854,,,,,,,,,,
Kepler-313 b,Kepler-313,Transit,14.9702081,0.1175,1.91,,,0,785,88.24,5900,1.07,0.96
Kepler-313 b,Kepler-313,Transit,14.9702081,0.1175,1.91,,,0,785,88.24,5900,1.07,0.96
Kepler-313 b,Kepler-313,Transit,14.97031664,0.1215,2.53,,,0,883,88.91,5726,1.48,1.07
Kepler-313 b,Kepler-313,Transit,14.9702081,0.1175,1.91,,,0,785,88.24,5900,1.07,0.96
Kepler-313 b,Kepler-313,Transit,14.97015,0.117,1.97,,,0,787,86.52,5880,1.08,0.96
Kepler-313 b,Kepler-313,Transit,14.97031664,,,,,,,,,,
Kepler-313 b,Kepler-313,Transit,14.9702081,,2.43,,,,,,5804,1.39,1.08
Kepler-313 b,Kepler-313,Transit,14.97032363,,,,,,,,,,
Kepler-313 c,Kepler-313,Transit,32.2752118,,2.27,,,,,,5804,1.39,1.08
Kepler-313 c,Kepler-313,Transit,32.273273,0.208,2.57,,,,,,5727,1.54,
Kepler-313 c,Kepler-313,Transit,32.2753853,0.2027,2.31,,,0,683,88.5,5726,1.48,1.07
Kepler-313 c,Kepler-313,Transit,32.2752118,0.196,1.7,,,0,608,88.81,5900,1.07,0.96
Kepler-313 c,Kepler-313,Transit,32.2752118,0.196,1.7,,,0,608,88.81,5900,1.07,0.96
Kepler-313 c,Kepler-313,Transit,32.2757,0.196,1.96,,,0,608,87.66,5880,1.08,0.96
Kepler-313 c,Kepler-313,Transit,32.27561961,,,,,,,,,,
Kepler-313 c,Kepler-313,Transit,32.2753853,,,,,,,,,,
Kepler-313 c,Kepler-313,Transit,32.27625196,,,,,,,,,,
Kepler-313 c,Kepler-313,Transit,32.2752118,0.196,1.7,,,0,608,88.81,5900,1.07,0.96
Kepler-314 b,Kepler-314,Transit,2.46106655,0.036,0.81,,,0,1218,88.24,5497,0.91,1.03
Kepler-314 b,Kepler-314,Transit,2.461069,0.035,0.83,,,,,,5378,0.95,
Kepler-314 b,Kepler-314,Transit,,,0.835,,,,,,5440,0.88,
Kepler-314 b,Kepler-314,Transit,2.46106655,0.035555,0.78,,,0,,,,,0.99
Kepler-314 b,Kepler-314,Transit,2.46106655,0.036,0.81,,,0,1218,88.24,5497,0.91,1.03
Kepler-314 b,Kepler-314,Transit,2.46106655,0.036,0.81,,,0,1218,88.24,5497,0.91,1.03
Kepler-314 b,Kepler-314,Transit,2.46106962,0.0354,0.84,,,0,1195,85.4,5418,0.89,0.98
Kepler-314 b,Kepler-314,Transit,2.46106962,,,,,,,,5219.54,0.94,0.89
Kepler-314 b,Kepler-314,Transit,2.461098,0.036,0.84,,,0,1247,89.95,5501,0.95,1.02
Kepler-314 b,Kepler-314,Transit,2.46104053,,,,,,,,5219.54,0.94,0.89
Kepler-314 b,Kepler-314,Transit,2.46106655,,0.76,,,,,,5421,0.87,0.95
Kepler-314 c,Kepler-314,Transit,5.96040108,0.065,2.87,,,0,907,85.94,5497,0.91,1.03
Kepler-314 c,Kepler-314,Transit,5.96040066,,,,,,,,5219.54,0.94,0.89
Kepler-314 c,Kepler-314,Transit,5.96040001,0.0639,2.85,,,0,890,85.57,5418,0.89,0.98
Kepler-314 c,Kepler-314,Transit,5.96040108,0.065,2.87,,,0,907,85.94,5497,0.91,1.03
Kepler-314 c,Kepler-314,Transit,5.96040324,,,,,,,,5219.54,0.94,0.89
Kepler-314 c,Kepler-314,Transit,5.960392,0.064,2.9,,,,,,5378,0.95,
Kepler-314 c,Kepler-314,Transit,5.96040001,,,,,,,,5219.54,0.94,0.89
Kepler-314 c,Kepler-314,Transit,5.96040108,0.065,2.87,,,0,907,85.94,5497,0.91,1.03
Kepler-314 c,Kepler-314,Transit,5.96040108,,2.75,,,,,,5421,0.87,0.95
Kepler-314 c,Kepler-314,Transit,5.96040108,0.064121,2.767,,,0,,,,,0.99
Kepler-314 c,Kepler-314,Transit,,,2.834,,,,,,5440,0.88,
Kepler-314 c,Kepler-314,Transit,5.9604,0.065,2.65,,,0,928,88.81,5501,0.95,1.02
Kepler-315 b,Kepler-315,Transit,96.109323,0.3928,4.01,,,0,409,88.26,5792,1,0.88
Kepler-315 b,Kepler-315,Transit,96.11050444,,,,,,,,5783,1,1.04
Kepler-315 b,Kepler-315,Transit,96.101141,0.402,3.77,,,,,,5796,1.04,
Kepler-315 b,Kepler-315,Transit,96.105471,,4.47,,,,,,5842,1,0.98
Kepler-315 b,Kepler-315,Transit,96.105471,0.3852,3.89,,,0,378,88.24,5724,0.86,0.82
Kepler-315 b,Kepler-315,Transit,96.105471,0.3852,3.89,,,0,378,88.24,5724,0.86,0.82
Kepler-315 b,Kepler-315,Transit,96.105471,0.3852,3.89,,,0,378,88.24,5724,0.86,0.82
Kepler-315 b,Kepler-315,Transit,,,4.184,,,,,,5683,1.05,
Kepler-315 b,Kepler-315,Transit,96.1009,0.403,3.4,,,0,382,89.38,5773,0.91,0.95
Kepler-315 b,Kepler-315,Transit,96.109323,,,,,,,,5783,1,1.04
Kepler-315 c,Kepler-315,Transit,265.467621,0.7584,3.64,,,0,269,89.38,5724,0.86,0.82
Kepler-315 c,Kepler-315,Transit,265.469335,0.791,4.15,,,,,,5796,1.04,
Kepler-315 c,Kepler-315,Transit,265.467621,0.7584,3.64,,,0,269,89.38,5724,0.86,0.82
Kepler-315 c,Kepler-315,Transit,265.4734326,,,,,,,,5783,1,1.04
Kepler-315 c,Kepler-315,Transit,265.47847,0.7733,4.2,,,0,291,89.31,5792,1,0.88
Kepler-315 c,Kepler-315,Transit,265.47847,,,,,,,,5783,1,1.04
Kepler-315 c,Kepler-315,Transit,265.467621,,4.24,,,,,,5842,1,0.98
Kepler-315 c,Kepler-315,Transit,,,4.387,,,,,,5683,1.05,
Kepler-315 c,Kepler-315,Transit,265.467621,0.7584,3.64,,,0,269,89.38,5724,0.86,0.82
Kepler-316 b,Kepler-316,Transit,2.2404867,0.0281,1.22,,,0,837,87.63,4198,0.57,0.59
Kepler-316 b,Kepler-316,Transit,2.24048639,0.0277,1.19,,,0,815,88.81,4132,0.55,0.56
Kepler-316 b,Kepler-316,Transit,2.240507,0.028,1.32,,,0,840,83.65,4272,0.56,0.59
Kepler-316 b,Kepler-316,Transit,2.240508,0.027,1.06,,,,,,4204,0.52,
Kepler-316 b,Kepler-316,Transit,,,1.451,,,,,,4200,0.68,
Kepler-316 b,Kepler-316,Transit,2.24048639,0.0277,1.19,,,0,815,88.81,4132,0.55,0.56
Kepler-316 b,Kepler-316,Transit,2.24048639,0.0277,1.19,,,0,815,88.81,4132,0.55,0.56
Kepler-316 b,Kepler-316,Transit,2.24049791,,,,,,,,4256,0.7,0.67
Kepler-316 b,Kepler-316,Transit,2.2404867,,,,,,,,4256,0.7,0.67
Kepler-316 b,Kepler-316,Transit,2.24048639,,1.3,,,,,,4268,0.6,0.62
Kepler-316 b,Kepler-316,Transit,,,1.515,,,,,,4200,0.64,0.67
Kepler-316 c,Kepler-316,Transit,6.8277839,0.0582,1.32,,,0,562,89.95,4132,0.55,0.56
Kepler-316 c,Kepler-316,Transit,6.827766,0.058,1.16,,,,,,4204,0.52,
Kepler-316 c,Kepler-316,Transit,6.82778157,,,,,,,,4256,0.7,0.67
Kepler-316 c,Kepler-316,Transit,6.82776344,,,,,,,,4256,0.7,0.67
Kepler-316 c,Kepler-316,Transit,,,1.598,,,,,,4200,0.68,
Kepler-316 c,Kepler-316,Transit,6.8277839,0.0582,1.32,,,0,562,89.95,4132,0.55,0.56
Kepler-316 c,Kepler-316,Transit,6.8277839,0.0582,1.32,,,0,562,89.95,4132,0.55,0.56
Kepler-316 c,Kepler-316,Transit,6.8277839,,1.43,,,,,,4268,0.6,0.62
Kepler-316 c,Kepler-316,Transit,6.82778157,0.059,1.34,,,0,577,89.09,4198,0.57,0.59
Kepler-316 c,Kepler-316,Transit,6.82776885,,,,,,,,4256,0.7,0.67
Kepler-316 c,Kepler-316,Transit,6.827818,0.059,1.41,,,0,579,87.09,4272,0.56,0.59
Kepler-316 c,Kepler-316,Transit,,,1.619,,,,,,4200,0.64,0.67
Kepler-317 b,Kepler-317,Transit,5.52417517,,2.4,,,,,,5805,1.05,1.04
Kepler-317 b,Kepler-317,Transit,5.52417517,0.0608,2.11,,,0,951,88.81,5497,0.94,0.98
Kepler-317 b,Kepler-317,Transit,5.524242,0.061,2.09,,,,,,5497,0.94,
Kepler-317 b,Kepler-317,Transit,5.524233,0.057,2,,,0,918,87.09,5372,0.86,0.82
Kepler-317 b,Kepler-317,Transit,5.524,,2.08,109.8,,,,,,0.94,0.98
Kepler-317 b,Kepler-317,Transit,5.52418625,,,,,,,,5317,0.93,0.92
Kepler-317 b,Kepler-317,Transit,5.52417517,0.0608,2.11,,,0,951,88.81,5497,0.94,0.98
Kepler-317 b,Kepler-317,Transit,5.52418625,0.0583,2.25,,,0,976,87.89,5334,1,0.86
Kepler-317 b,Kepler-317,Transit,5.52417517,0.0608,2.11,,,0,951,88.81,5497,0.94,0.98
Kepler-317 b,Kepler-317,Transit,,,1.898,,,,,,5323,0.85,
Kepler-317 b,Kepler-317,Transit,5.52421777,,,,,,,,5317,0.93,0.92
Kepler-317 c,Kepler-317,Transit,8.77508519,0.0827,1.85,,,0,816,88.81,5497,0.94,0.98
Kepler-317 c,Kepler-317,Transit,8.77508519,0.0827,1.85,,,0,816,88.81,5497,0.94,0.98
Kepler-317 c,Kepler-317,Transit,8.77514782,0.0794,1.91,,,0,837,88.45,5334,1,0.86
Kepler-317 c,Kepler-317,Transit,8.77514,0.078,1.7,,,0,785,87.66,5372,0.86,0.82
Kepler-317 c,Kepler-317,Transit,8.775,,,,,,,,,0.94,0.98
Kepler-317 c,Kepler-317,Transit,8.77514782,,,,,,,,5317,0.93,0.92
Kepler-317 c,Kepler-317,Transit,8.77519484,,,,,,,,5317,0.93,0.92
Kepler-317 c,Kepler-317,Transit,8.77508519,,2.04,,,,,,5805,1.05,1.04
Kepler-317 c,Kepler-317,Transit,8.77508519,0.0827,1.85,,,0,816,88.81,5497,0.94,0.98
Kepler-317 c,Kepler-317,Transit,,,1.609,,,,,,5323,0.85,
Kepler-317 c,Kepler-317,Transit,8.77501,0.083,1.72,,,,,,5497,0.94,
Kepler-318 b,Kepler-318,Transit,4.66271796,,,,,,,,5940.12,0.95,1.08
Kepler-318 b,Kepler-318,Transit,4.66271906,,3.8,,,,,,5708,0.94,1.02
Kepler-318 b,Kepler-318,Transit,4.66271906,0.0566,5.89,,,0,1327,89.38,5903,1.47,1.11
Kepler-318 b,Kepler-318,Transit,4.66271906,0.0566,5.89,,,0,1327,89.38,5903,1.47,1.11
Kepler-318 b,Kepler-318,Transit,4.66271775,,,,,,,,5940.12,0.95,1.08
Kepler-318 b,Kepler-318,Transit,4.66271902,,,,,,,,5940.12,0.95,1.08
Kepler-318 b,Kepler-318,Transit,,,4.035,,,,,,5873,0.98,
Kepler-318 b,Kepler-318,Transit,4.662715,0.056,4.71,,,,,,5746,1.19,
Kepler-318 b,Kepler-318,Transit,4.6627227,0.054,5.8,,,0,1299,86.52,5812,1.39,0.98
Kepler-318 b,Kepler-318,Transit,4.66271902,0.0556,3.86,,,0,1039,87.66,5729,0.94,1.05
Kepler-318 b,Kepler-318,Transit,4.66271906,0.0566,5.89,,,0,1327,89.38,5903,1.47,1.11
Kepler-318 c,Kepler-318,Transit,11.8150174,,,,,,,,5940.12,0.95,1.08
Kepler-318 c,Kepler-318,Transit,11.8150174,0.1033,3.48,,,0,762,87.15,5729,0.94,1.05
Kepler-318 c,Kepler-318,Transit,11.81500401,,,,,,,,5940.12,0.95,1.08
Kepler-318 c,Kepler-318,Transit,11.8150005,,,,,,,,5940.12,0.95,1.08
Kepler-318 c,Kepler-318,Transit,11.815007,0.105,3.68,,,,,,5746,1.19,
Kepler-318 c,Kepler-318,Transit,,,3.639,,,,,,5873,0.98,
Kepler-318 c,Kepler-318,Transit,11.8150013,0.1053,4.59,,,0,973,89.95,5903,1.47,1.11
Kepler-318 c,Kepler-318,Transit,11.8150013,0.1053,4.59,,,0,973,89.95,5903,1.47,1.11
Kepler-318 c,Kepler-318,Transit,11.815018,0.101,5,,,0,950,87.66,5812,1.39,0.98
Kepler-318 c,Kepler-318,Transit,11.8150013,0.1053,4.59,,,0,973,89.95,5903,1.47,1.11
Kepler-318 c,Kepler-318,Transit,11.8150013,,2.98,,,,,,5708,0.94,1.02
Kepler-319 b,Kepler-319,Transit,4.362741,0.052,2.95,,,0,1346,83.65,5708,1.49,0.96
Kepler-319 b,Kepler-319,Transit,4.36273233,0.05,1.76,,,0,1023,86.03,5527,0.88,0.88
Kepler-319 b,Kepler-319,Transit,4.36274436,0.0578,3.24,,,0,1447,89.95,5903,1.78,1.35
Kepler-319 b,Kepler-319,Transit,4.362705,0.051,1.63,,,,,,5526,0.9,
Kepler-319 b,Kepler-319,Transit,4.36274395,,,,,,,,5589.32,0.87,0.99
Kepler-319 b,Kepler-319,Transit,4.36274436,,1.69,,,,,,5613,0.92,0.96
Kepler-319 b,Kepler-319,Transit,,,1.692,,,,,,5599,0.85,
Kepler-319 b,Kepler-319,Transit,4.36275831,,,,,,,,5589.32,0.87,0.99
Kepler-319 b,Kepler-319,Transit,4.36274436,0.0578,3.24,,,0,1447,89.95,5903,1.78,1.35
Kepler-319 b,Kepler-319,Transit,4.36274436,0.0578,3.24,,,0,1447,89.95,5903,1.78,1.35
Kepler-319 b,Kepler-319,Transit,4.36273233,,,,,,,,5589.32,0.87,0.99
Kepler-319 c,Kepler-319,Transit,6.94135962,0.0787,5.22,,,0,1240,89.95,5903,1.78,1.35
Kepler-319 c,Kepler-319,Transit,6.94135925,,,,,,,,5589.32,0.87,0.99
Kepler-319 c,Kepler-319,Transit,6.94135962,0.0787,5.22,,,0,1240,89.95,5903,1.78,1.35
Kepler-319 c,Kepler-319,Transit,,,2.85,,,,,,5599,0.85,
Kepler-319 c,Kepler-319,Transit,6.94135704,,,,,,,,5589.32,0.87,0.99
Kepler-319 c,Kepler-319,Transit,6.94135824,,,,,,,,5589.32,0.87,0.99
Kepler-319 c,Kepler-319,Transit,6.94135962,0.0787,5.22,,,0,1240,89.95,5903,1.78,1.35
Kepler-319 c,Kepler-319,Transit,6.941344,0.07,5.6,,,0,1160,84.8,5708,1.49,0.96
Kepler-319 c,Kepler-319,Transit,6.941357,0.069,2.63,,,,,,5526,0.9,
Kepler-319 c,Kepler-319,Transit,6.94135962,,2.69,,,,,,5613,0.92,0.96
Kepler-319 c,Kepler-319,Transit,6.94135824,0.0682,2.96,,,0,876,86.78,5527,0.88,0.88
Kepler-319 d,Kepler-319,Transit,31.78204372,,,,,,,,5589.32,0.87,0.99
Kepler-319 d,Kepler-319,Transit,31.7821117,,,,,,,,5589.32,0.87,0.99
Kepler-319 d,Kepler-319,Transit,31.78209253,0.2171,4.56,,,0,746,89.38,5903,1.78,1.35
Kepler-319 d,Kepler-319,Transit,31.78209253,,2.29,,,,,,5613,0.92,0.96
Kepler-319 d,Kepler-319,Transit,31.781925,0.191,2.29,,,,,,5526,0.9,
Kepler-319 d,Kepler-319,Transit,31.78209253,0.2171,4.56,,,0,746,89.38,5903,1.78,1.35
Kepler-319 d,Kepler-319,Transit,31.78221016,,,,,,,,5589.32,0.87,0.99
Kepler-319 d,Kepler-319,Transit,31.78209253,0.2171,4.56,,,0,746,89.38,5903,1.78,1.35
Kepler-319 d,Kepler-319,Transit,,,2,,,,,,5599,0.85,
Kepler-319 d,Kepler-319,Transit,31.7821117,0.1879,2.08,,,0,528,89.85,5527,0.88,0.88
Kepler-319 d,Kepler-319,Transit,31.78226,0.194,4.3,,,0,697,88.24,5708,1.49,0.96
Kepler-32 b,Kepler-32,Transit,5.9012,0.0519,2.2,,,,530,,3793,0.53,0.54
Kepler-32 b,Kepler-32,Transit,5.90127815,,,,,,,,3791,0.57,0.57
Kepler-32 b,Kepler-32,Transit,5.90128282,0.0514,2.09,,,0,513,89.95,3727,0.5,0.52
Kepler-32 b,Kepler-32,Transit,5.90125513,0.05151,2.02,,,,512,,3727,0.5,0.52
Kepler-32 b,Kepler-32,Transit,5.90129534,,2.13,,,,,,3791,0.57,0.57
Kepler-32 b,Kepler-32,Transit,5.90128282,0.0514,2.09,,,0,513,89.95,3727,0.5,0.52
Kepler-32 b,Kepler-32,Transit,5.90127815,0.051,1.94,,,0,514,89.92,3731,0.5,0.51
Kepler-32 b,Kepler-32,Transit,5.90128282,0.0514,2.09,,,0,513,89.95,3727,0.5,0.52
Kepler-32 b,Kepler-32,Transit,5.9012915,,,,,,,,3791,0.57,0.57
Kepler-32 b,Kepler-32,Transit,5.901,,2.15,,,,,,3787,0.51,0.51
Kepler-32 b,Kepler-32,Transit,,,2.231,,,,,,3731,0.57,
Kepler-32 b,Kepler-32,Transit,,,2.251,,,,,,3801,0.53,0.57
Kepler-32 b,Kepler-32,Transit,5.90128282,,2.25,,,,,,3903,0.54,0.57
Kepler-32 b,Kepler-32,Transit,5.90124,0.05,2.2,1303,,,,,3900,0.53,0.58
